data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8403950,728,SSD7801,7801,28-Jul-21,2021,1,Strategic developments,Disrupted weapons use,Military Forces of South Sudan (2011-),,1,Civilians (South Sudan),,7,17,Eastern Africa,South Sudan,Central Equatoria,Yei,Yei,Yei,4.0947,30.6772,1,Radio Miraya,National,"Detonation: On 28 July 2021, two children were killed and another was wounded whilst playing with a grenade in Yei town (Yei county, Central Equatoria state). The grenade belonged to the father of the children, who was an SSPDF soldier.",2,1627934659,SSD
8403642,728,SSD7799,7799,27-Jul-21,2021,1,Strategic developments,Looting/property destruction,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),Military Forces of South Sudan (2011-); Former Government of South Sudan (2011-),7,37,Eastern Africa,South Sudan,Warrap,Gogrial East,Toch North,Adier Chien,8.7769,28.4854,2,Juba Monitor; Sudans Post,National,"Property destruction: On 27 July 2021, unknown attackers torched houses belonging to Maj. Gen. Gregory Vassilli Dmitry (who was the former Governor of the defunct Gogrial state, and has served as a senior officer in the SSPDF) in the adjoining villages of Adier Chien and Chuen-Agany in Toch North payam (Gogrial East county, Warrap state). Relatives have attributed the attack to unspecified political rivals of the former Governor. No injuries were reported in the incidents.",0,1627934658,SSD
8403643,728,SSD7800,7800,27-Jul-21,2021,1,Violence against civilians,Attack,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),Refugees/IDPs (South Sudan); Students (South Sudan); Gun-Lou Clan Group (South Sudan); Nuer Ethnic Group (South Sudan),7,37,Eastern Africa,South Sudan,Jonglei,Akobo,Diror,Kaikuiny,8.0924,32.3906,2,Radio Tamazuj; Juba Monitor,National-Regional,"On 27 July 2021, unknown attackers attacked a group of refugees and students returning to Uror county from Ethiopia (and presumed to be of the Gun section of the Lou Nuer) in the area of Kaikuiny (Akobo county, Jonglei state), stabbing and wounding a woman from the group and abducted her two young children. A local official has attributed the attack to the Murle, although this is not confirmed at the present time.",0,1627934658,SSD
8403848,728,SSD7798,7798,24-Jul-21,2021,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (South Sudan),,3,Police Forces of South Sudan (2011-),,1,13,Eastern Africa,South Sudan,Jonglei,Bor South,Bor,Bor,6.2089,31.5586,1,Juba Monitor,National,"On 24 July 2021, a man detonated a grenade at a hotel in Bor town (Bor South county, Jonglei state), after being intercepted by police officers. The man seriously wounded himself in the incident, and wounded three others (presumed to be police). The individual had been attempting to gain access to an event in which the Governor and Deputy Governor of Jonglei state were in attendance.",0,1627934658,SSD
8394892,728,SSD7794,7794,21-Jul-21,2021,1,Violence against civilians,Abduction/forced disappearance,Murle Ethnic Militia (South Sudan),,4,Civilians (South Sudan),Anyuak Ethnic Group (South Sudan),7,47,Eastern Africa,South Sudan,Jonglei,Pochalla,Burator,Nyium,7.3432,33.8598,2,Radio Tamazuj,Regional,"On 21 July 2021, suspected Murle militiamen abducted two babies (presumed to be Anyuak) at an unspecified location between Teido and Nyium (Pochalla county, Jonglei state). The Chief Administrator of the disputed Greater Pibor Administrative Area has acknowledged that Murle militia were likely involved in the event.",0,1627328513,SSD
8394895,728,SSD7795,7795,21-Jul-21,2021,1,Violence against civilians,Abduction/forced disappearance,Murle Ethnic Militia (South Sudan),,4,Civilians (South Sudan),Anyuak Ethnic Group (South Sudan); Women (South Sudan),7,47,Eastern Africa,South Sudan,Jonglei,Pochalla,Pochalla,Pochalla,7.1881,34.0993,2,Radio Tamazuj,Regional,"On 21 July 2021, suspected Murle militiamen abducted a female 10 year-old child (presumed to be Anyuak) near to Pochalla town (Pochalla county, Jonglei state). The Chief Administrator of the disputed Greater Pibor Administrative Area has acknowledged that Murle militia were likely involved in the event.",0,1627328513,SSD
8394872,728,SSD7793,7793,20-Jul-21,2021,1,Violence against civilians,Attack,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),Labour Group (South Sudan); Mor-Lou Clan Group (South Sudan); Nuer Ethnic Group (South Sudan),7,37,Eastern Africa,South Sudan,Jonglei,Pibor,Pibor,Pibor,6.7984,33.1308,2,Radio Miraya,National,"On 20 July 2021, two traders from Akobo (presumed to be of the Mor section of the Lou Nuer) were attacked at an unspecified area of Pibor county (Jonglei state). One of the traders was killed, and the other is reported to be missing. It is likely that the victims were killed either by Murle militia or members of the armed forces, but this is not specified in the source.",1,1627328513,SSD
8394540,728,SSD7792,7792,19-Jul-21,2021,1,Battles,Armed clash,Unidentified Armed Group (South Sudan),,3,Military Forces of South Sudan (2011-),,1,13,Eastern Africa,South Sudan,Western Equatoria,Yambio,Yambio Town,Yambio,4.571,28.4104,1,Juba Monitor; Eye Radio (South Sudan),National,"On 19 July 2021, unknown gunmen attacked the residence of the Minister of Health for the Western Equatoria state government in Yambio town (Yambio county, Western Equatoria state), killing a bodyguard of the official before fleeing. The attack is alleged to be connected to the ongoing violence in Tambura county, although this is not confirmed at the present time.",1,1627328512,SSD
8394890,728,SSD7789,7789,19-Jul-21,2021,1,Violence against civilians,Attack,Lotuko Ethnic Milita (South Sudan),,4,Civilians (South Sudan),Lotuko Ethnic Group (South Sudan),7,47,Eastern Africa,South Sudan,Eastern Equatoria,Torit,Bur,Oguruny,4.3961,32.9044,1,Radio Tamazuj,Regional,"On 19 July 2021, armed men (suspected of coming from Iloli village, and coded as Lotuko militia) attacked a house in Oguruny village (Torit county, Eastern Equatoria state), killing a teenage girl and wounding her father (both victims presumed to be Lotuko). The attack is described as being a revenge attack, and comes amid escalating violence in the area.",1,1627328513,SSD
8394893,728,SSD7785,7785,19-Jul-21,2021,1,Battles,Armed clash,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition (Splinter Faction),Military Forces of South Sudan (2011-),2,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,,2,22,Eastern Africa,South Sudan,Western Bahr el Ghazal,Jur River,Kangi,Kangi,8.1479,27.6612,2,Radio Tamazuj,Regional,"On 19 July 2021, a 'renegade' SPLM-IO faction under the commander of Maj. Gen. Andrea Mayar clashed with loyal IO forces under Brig. Gen. Bol Wek at Kangi payam (Jur River county, Western Bahr el Ghazal state), with one soldier wounded. Government forces who were passing through the area intervened on the side of Maj. Gen. Andrea Mayar. The reason for the clash is not specified.",0,1627328513,SSD
8394894,728,SSD7782,7782,19-Jul-21,2021,1,Violence against civilians,Attack,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Western Equatoria,Tambura,Namutina,Akpa,5.8038,27.1759,1,Radio Tamazuj,Regional,"On 19 July 2021, unknown attackers entered the villages of Matakurungu, Nambia, Akpa, Bangaru, Maaku, Dingimo, and Basanabaru in Tambura county (Western Equatoria state), with reports of gunfire in each of the locations. A total of 4,000 people were displaced from the Tambura area during violence on this day and the weekend before. The identity of the attackers and victims is not specified, though fighting between the Zande and Balanda ethnic groups (who have likely been acting as proxies for government and/or rebel factions) has been ongoing since April. There is no information on the numbers killed or wounded.",0,1627328513,SSD
8394896,728,SSD7784,7784,19-Jul-21,2021,1,Violence against civilians,Attack,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Western Equatoria,Tambura,Namutina,Dingimo,5.6067,27.3482,1,Radio Tamazuj,Regional,"On 19 July 2021, unknown attackers entered the villages of Matakurungu, Nambia, Akpa, Bangaru, Maaku, Dingimo, and Basanabaru in Tambura county (Western Equatoria state), with reports of gunfire in each of the locations. A total of 4,000 people were displaced from the Tambura area during violence on this day and the weekend before. The identity of the attackers and victims is not specified, though fighting between the Zande and Balanda ethnic groups (who have likely been acting as proxies for government and/or rebel factions) has been ongoing since April. There is no information on the numbers killed or wounded.",0,1627328513,SSD
8394897,728,SSD7786,7786,19-Jul-21,2021,1,Violence against civilians,Attack,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Western Equatoria,Tambura,Namutina,Maaku,5.6475,27.4472,1,Radio Tamazuj,Regional,"On 19 July 2021, unknown attackers entered the villages of Matakurungu, Nambia, Akpa, Bangaru, Maaku, Dingimo, and Basanabaru in Tambura county (Western Equatoria state), with reports of gunfire in each of the locations. A total of 4,000 people were displaced from the Tambura area during violence on this day and the weekend before. The identity of the attackers and victims is not specified, though fighting between the Zande and Balanda ethnic groups (who have likely been acting as proxies for government and/or rebel factions) has been ongoing since April. There is no information on the numbers killed or wounded.",0,1627328513,SSD
8394898,728,SSD7787,7787,19-Jul-21,2021,1,Violence against civilians,Attack,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Western Equatoria,Tambura,Tambura,Matakurungu,5.5756,27.4561,1,Radio Tamazuj,Regional,"On 19 July 2021, unknown attackers entered the villages of Matakurungu, Nambia, Akpa, Bangaru, Maaku, Dingimo, and Basanabaru in Tambura county (Western Equatoria state), with reports of gunfire in each of the locations. A total of 4,000 people were displaced from the Tambura area during violence on this day and the weekend before. The identity of the attackers and victims is not specified, though fighting between the Zande and Balanda ethnic groups (who have likely been acting as proxies for government and/or rebel factions) has been ongoing since April. There is no information on the numbers killed or wounded.",0,1627328513,SSD
8394899,728,SSD7783,7783,19-Jul-21,2021,1,Violence against civilians,Attack,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Western Equatoria,Tambura,Namutina,Bangaru,5.7283,27.4129,1,Radio Tamazuj,Regional,"On 19 July 2021, unknown attackers entered the villages of Matakurungu, Nambia, Akpa, Bangaru, Maaku, Dingimo, and Basanabaru in Tambura county (Western Equatoria state), with reports of gunfire in each of the locations. A total of 4,000 people were displaced from the Tambura area during violence on this day and the weekend before. The identity of the attackers and victims is not specified, though fighting between the Zande and Balanda ethnic groups (who have likely been acting as proxies for government and/or rebel factions) has been ongoing since April. There is no information on the numbers killed or wounded.",0,1627328513,SSD
8394901,728,SSD7788,7788,19-Jul-21,2021,1,Violence against civilians,Attack,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Western Equatoria,Tambura,Mupoi,Nambia,5.5616,27.5256,1,Radio Tamazuj,Regional,"On 19 July 2021, unknown attackers entered the villages of Matakurungu, Nambia, Akpa, Bangaru, Maaku, Dingimo, and Basanabaru in Tambura county (Western Equatoria state), with reports of gunfire in each of the locations. A total of 4,000 people were displaced from the Tambura area during violence on this day and the weekend before. The identity of the attackers and victims is not specified, though fighting between the Zande and Balanda ethnic groups (who have likely been acting as proxies for government and/or rebel factions) has been ongoing since April. There is no information on the numbers killed or wounded.",0,1627328513,SSD
8403641,728,SSD7791,7791,19-Jul-21,2021,1,Violence against civilians,Attack,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Western Equatoria,Tambura,Tambura,Tambura,5.6056,27.4716,2,UNMISS; Radio Tamazuj,National-Regional,"On 19 July 2021, unknown attackers entered the villages of Tinakpuro and Basanabaru [coded to Tambura] in Tambura county (Western Equatoria state), with reports of gunfire and arson in each of the locations. A total of 4,000 people were displaced from the Tambura area during violence on this day and the weekend before. The identity of the attackers and victims is not specified, though fighting between the Zande and Balanda ethnic groups (who have likely been acting as proxies for government and/or rebel factions) has been ongoing since April. There is no information on the numbers killed or wounded.",0,1627934658,SSD
