state_pcode,state_name,county_pcode,county_name,Displacement site ,Host community,Total
SS01,Central Equatoria,SS0101,Juba," 50,170 "," 40,368 "," 90,538 "
SS01,Central Equatoria,SS0102,Kajo-Keji," 13,002 "," 4,507 "," 17,509 "
SS01,Central Equatoria,SS0103,Lainya,," 32,614 "," 32,614 "
SS01,Central Equatoria,SS0104,Morobo,," 2,740 "," 2,740 "
SS01,Central Equatoria,SS0105,Terekeka," 6,728 "," 27,035 "," 33,763 "
SS01,Central Equatoria,SS0106,Yei," 18,828 "," 38,644 "," 57,472 "
SS02,Eastern Equatoria,SS0201,Budi, 430 ," 7,497 "," 7,927 "
SS02,Eastern Equatoria,SS0202,Ikotos,," 1,895 "," 1,895 "
SS02,Eastern Equatoria,SS0203,Kapoeta East,," 3,148 "," 3,148 "
SS02,Eastern Equatoria,SS0204,Kapoeta North,," 6,849 "," 6,849 "
SS02,Eastern Equatoria,SS0205,Kapoeta South,," 3,132 "," 3,132 "
SS02,Eastern Equatoria,SS0206,Lafon, -   ," 11,085 "," 11,085 "
SS02,Eastern Equatoria,SS0207,Magwi, 990 ," 12,734 "," 13,724 "
SS02,Eastern Equatoria,SS0208,Torit,," 1,751 "," 1,751 "
SS03,Jonglei,SS0301,Akobo," 1,251 "," 15,871 "," 17,122 "
SS03,Jonglei,SS0302,Ayod," 3,805 "," 18,664 "," 22,469 "
SS03,Jonglei,SS0303,Bor South," 16,872 "," 21,918 "," 38,790 "
SS03,Jonglei,SS0304,Canal Pigi, 685 ," 11,495 "," 12,180 "
SS03,Jonglei,SS0305,Duk," 6,258 "," 21,742 "," 28,000 "
SS03,Jonglei,SS0306,Fangak, 181 ," 34,762 "," 34,943 "
SS03,Jonglei,SS0307,Nyirol," 9,536 "," 19,135 "," 28,671 "
SS03,Jonglei,SS0308,Pibor, -   ," 19,949 "," 19,949 "
SS03,Jonglei,SS0309,Pochalla,," 2,846 "," 2,846 "
SS03,Jonglei,SS0310,Twic East,," 1,654 "," 1,654 "
SS03,Jonglei,SS0311,Uror,," 37,365 "," 37,365 "
SS04,Lakes,SS0401,Awerial," 21,133 "," 31,088 "," 52,221 "
SS04,Lakes,SS0402,Cueibet,," 18,696 "," 18,696 "
SS04,Lakes,SS0403,Rumbek Centre,," 7,217 "," 7,217 "
SS04,Lakes,SS0404,Rumbek East,," 2,112 "," 2,112 "
SS04,Lakes,SS0405,Rumbek North,," 52,293 "," 52,293 "
SS04,Lakes,SS0406,Wulu,," 13,132 "," 13,132 "
SS04,Lakes,SS0407,Yirol East, -   ," 20,569 "," 20,569 "
SS04,Lakes,SS0408,Yirol West,," 20,743 "," 20,743 "
SS05,Northern Bahr el Ghazal,SS0501,Aweil Centre," 2,069 "," 11,822 "," 13,891 "
