OBJECTID,Id,XCoord,YCoord,treat_phas,Date_Ear,E_15km_30D,E_15km_60D,E_15km_90D,E_30km_30D,E_30km_60D,E_30km_90D,E_45km_30D,E_45km_60D,E_45km_90D
1,0,31.47873074,7.516805206,720401001202,6/1/2021 0:00,,,,,,,,,
2,1,31.41179386,7.450859835,720401003202,5/28/2021 0:00,,,,,,,,,
3,2,31.41192072,7.4578462,720401003203,6/10/2021 0:00,,,,,,,,,
4,3,31.41218256,7.456412094,720401003204,5/28/2021 0:00,,,,,,,,,
5,4,31.35180185,7.7199677,720402001201,6/4/2021 0:00,,,,,,,,,
6,5,31.35225112,7.7182325,720402001202,6/5/2021 0:00,,,,,,,,,
7,6,31.32423965,7.736048324,720403001201,6/18/2021 0:00,,,,,,,,,
8,7,31.34910864,7.7329786,720403001202,6/15/2021 0:00,,,,,,,,,
9,8,31.35173583,7.72141528,720403001205,6/14/2021 0:00,,,,,,,,,
10,9,31.34968679,7.731925894,720403002201,6/16/2021 0:00,,,,,,,,,
11,10,31.35183274,7.720726129,720403002202,5/31/2021 0:00,,,,,,,,,
12,11,31.35092891,7.72523655,720403003201,6/22/2021 0:00,1,1,1,1,1,1,1,1,1
13,12,31.34498638,7.754435594,720403003202,6/14/2021 0:00,,,,,,,,,
14,13,31.35097015,7.725864013,720403003204,7/5/2021 0:00,1,1,1,1,1,1,1,1,1
15,14,31.39193336,7.755288744,720403004201,6/2/2021 0:00,,,,,,,,,
16,15,31.39641413,7.750993376,720403004202,5/30/2021 0:00,,,,,,,,,
17,16,31.39397395,7.750405794,720403004203,6/19/2021 0:00,1,1,1,1,1,1,1,1,1
18,17,31.39555234,7.735351171,720403004204,5/28/2021 0:00,,,,,,,,,1
19,18,31.40338116,7.730905424,720403004205,5/28/2021 0:00,,,,,,,,,1
20,19,31.49487819,7.9331317,720404002201,5/29/2021 0:00,,,,1,1,1,1,1,1
21,20,31.68059884,7.861793618,720404003202,7/5/2021 0:00,,,,1,1,1,2,3,3
22,21,31.69603045,7.850365341,720405003202,6/14/2021 0:00,,,,1,1,1,1,1,1
23,22,31.69741327,7.847736992,720405003203,6/14/2021 0:00,,,,1,1,1,1,1,1
24,23,31.70014075,7.825440647,720405003205,6/1/2021 0:00,,,,1,1,1,1,1,1
25,24,31.70111619,7.793193253,720405005202,7/20/2021 0:00,,,,1,1,1,1,3,3
26,25,31.69516865,7.753056859,720405005204,5/29/2021 0:00,,,,,,,1,1,1
27,26,31.70242335,7.765181265,720405005206,6/10/2021 0:00,,,,,,,1,1,1
28,27,31.67934725,7.750777382,720405006203,7/19/2021 0:00,,,,,,,1,3,3
29,28,31.68129055,7.742185306,720405006204,5/30/2021 0:00,,,,,,,1,1,1
30,29,31.40980128,7.460414518,720406001202,6/10/2021 0:00,,,,,,,,,
31,30,31.40972825,7.4627907,720406002201,6/16/2021 0:00,,,,,,,,,
32,31,31.51171171,7.484469371,720406003201,5/28/2021 0:00,,,,,,,,,
33,32,31.51592364,7.482456312,720406003202,5/28/2021 0:00,,,,,,,,,
34,33,31.85068195,8.168855771,720501002201,6/17/2021 0:00,,,,1,2,4,2,3,5
35,34,31.95742198,8.235952453,720501003202,6/11/2021 0:00,,,,2,2,4,4,4,6
36,35,31.82339359,8.214627506,720501004204,6/3/2021 0:00,,,,,,,3,4,5
37,36,31.87242031,8.296671688,720501006201,6/28/2021 0:00,,,,,,,1,3,5
38,37,31.87403728,8.284325812,720501006202,6/28/2021 0:00,,,,,,,1,3,5
39,38,31.82828505,8.333122165,720501008201,6/11/2021 0:00,,,,,,,3,3,5
40,39,31.99755441,8.238840988,720502001201,6/11/2021 0:00,,,,2,2,4,4,4,6
41,40,32.00540875,8.1867978,720502001203,6/3/2021 0:00,,,,2,3,4,4,5,6
42,41,32.08557241,8.272577482,720502002203,6/15/2021 0:00,,,,1,2,4,2,3,5
43,42,32.04984498,8.127627171,720502003202,6/15/2021 0:00,1,2,4,1,2,4,2,3,5
44,43,32.00076837,8.258930541,720502004201,6/11/2021 0:00,,,,2,2,4,4,4,6
45,44,31.89387544,7.98242438,720503001203,6/14/2021 0:00,1,1,1,2,3,5,2,3,5
46,45,31.89456353,7.993468888,720503001205,6/11/2021 0:00,1,1,1,3,3,5,3,3,5
47,46,31.88822597,8.017878829,720503002203,6/11/2021 0:00,,,,3,3,5,3,3,5
48,47,31.88046298,8.001111906,720503002206,6/11/2021 0:00,1,1,1,3,3,5,3,3,5
49,48,31.93317518,8.017996965,720503004202,6/18/2021 0:00,2,3,5,2,3,5,2,3,5
50,49,31.83376424,8.072242994,720503005201,6/3/2021 0:00,,,,3,4,5,3,4,5
51,50,31.8342433,8.068107071,720503005202,6/29/2021 0:00,,,,1,4,6,1,4,6
52,51,31.87655368,8.096276607,720503007202,6/11/2021 0:00,,,,3,3,5,3,3,5
53,52,31.86190926,8.134204135,720503008202,6/18/2021 0:00,,,,1,2,4,2,3,5
54,53,31.96378893,7.9856763,720504005201,6/10/2021 0:00,3,3,5,3,3,5,3,3,5
55,54,31.96822815,7.989245306,720504005203,6/10/2021 0:00,3,3,5,3,3,5,3,3,5
56,55,31.95144786,7.968683256,720504007201,6/17/2021 0:00,2,3,5,2,3,5,2,3,5
57,56,32.05556565,8.082100994,720505001202,6/3/2021 0:00,2,3,4,3,4,5,3,4,5
58,57,32.01007426,8.108433431,720505002201,6/11/2021 0:00,2,2,4,3,3,5,3,3,5
59,58,32.02317188,8.085806076,720505002202,6/28/2021 0:00,,2,4,1,4,6,1,4,6
60,59,31.96278828,8.047709482,720505003201,6/3/2021 0:00,2,3,4,3,4,5,3,4,5
61,60,32.03654055,8.01664028,720505004202,6/3/2021 0:00,2,3,4,3,4,5,3,4,5
62,61,31.92830339,8.0436082,720506001201,6/11/2021 0:00,2,2,4,3,3,5,3,3,5
63,62,31.97663542,8.128747247,720506002203,6/12/2021 0:00,1,2,4,2,3,5,2,3,5
64,63,31.95075816,8.128094482,720506005201,6/3/2021 0:00,2,3,4,3,4,5,3,4,5
65,64,31.78336385,7.791390459,720507002202,5/31/2021 0:00,,,,1,1,1,3,5,5
66,65,31.88048395,7.937589959,720508001202,6/13/2021 0:00,1,1,1,2,3,5,2,3,5
67,66,31.88414823,7.9226712,720508001204,6/14/2021 0:00,1,1,1,2,3,5,2,3,5
68,67,31.88389299,7.867878193,720508003201,6/3/2021 0:00,1,1,1,3,4,5,3,4,5
69,68,31.89145964,7.902400941,720508003204,6/29/2021 0:00,1,2,2,1,4,6,1,4,6
70,69,31.81122372,7.835437018,720508004201,6/30/2021 0:00,1,1,1,1,2,2,1,4,6
